Index,UNIQUE_SUBJECT_UID,Task,Train,Test,Congruency,Ratio,Validation Accuracy
124,colors-count_equate_1_105,colors-count,Average Diameter,Convex Hull,1,71,1.0
125,colors-count_equate_1_106,colors-count,Average Diameter,Convex Hull,1,71,1.0
126,colors-count_equate_1_107,colors-count,Average Diameter,Convex Hull,1,71,1.0
127,colors-count_equate_1_108,colors-count,Average Diameter,Convex Hull,1,71,1.0
128,colors-count_equate_1_109,colors-count,Average Diameter,Convex Hull,1,71,1.0
129,colors-count_equate_1_110,colors-count,Average Diameter,Convex Hull,1,71,1.0
130,colors-count_equate_1_111,colors-count,Average Diameter,Convex Hull,1,71,1.0
131,colors-count_equate_1_112,colors-count,Average Diameter,Convex Hull,1,71,1.0
132,colors-count_equate_1_113,colors-count,Average Diameter,Convex Hull,1,71,1.0
133,colors-count_equate_1_114,colors-count,Average Diameter,Convex Hull,1,71,1.0
134,colors-count_equate_1_115,colors-count,Average Diameter,Convex Hull,1,71,1.0
135,colors-count_equate_1_116,colors-count,Average Diameter,Convex Hull,1,71,1.0
136,colors-count_equate_1_117,colors-count,Average Diameter,Convex Hull,1,71,1.0
137,colors-count_equate_1_118,colors-count,Average Diameter,Convex Hull,1,71,1.0
138,colors-count_equate_1_119,colors-count,Average Diameter,Convex Hull,1,71,1.0
139,colors-count_equate_1_120,colors-count,Average Diameter,Convex Hull,1,71,1.0
140,colors-count_equate_1_101,colors-count,Average Diameter,Convex Hull,0,71,1.0
141,colors-count_equate_1_102,colors-count,Average Diameter,Convex Hull,0,71,1.0
142,colors-count_equate_1_103,colors-count,Average Diameter,Convex Hull,0,71,1.0
143,colors-count_equate_1_104,colors-count,Average Diameter,Convex Hull,0,71,1.0
144,colors-count_equate_1_105,colors-count,Average Diameter,Convex Hull,0,71,1.0
145,colors-count_equate_1_106,colors-count,Average Diameter,Convex Hull,0,71,1.0
146,colors-count_equate_1_107,colors-count,Average Diameter,Convex Hull,0,71,1.0
147,colors-count_equate_1_108,colors-count,Average Diameter,Convex Hull,0,71,1.0
148,colors-count_equate_1_109,colors-count,Average Diameter,Convex Hull,0,71,1.0
149,colors-count_equate_1_110,colors-count,Average Diameter,Convex Hull,0,71,1.0
150,colors-count_equate_1_111,colors-count,Average Diameter,Convex Hull,0,71,1.0
151,colors-count_equate_1_112,colors-count,Average Diameter,Convex Hull,0,71,1.0
152,colors-count_equate_1_113,colors-count,Average Diameter,Convex Hull,0,71,1.0
153,colors-count_equate_1_114,colors-count,Average Diameter,Convex Hull,0,71,1.0
154,colors-count_equate_1_115,colors-count,Average Diameter,Convex Hull,0,71,1.0
155,colors-count_equate_1_116,colors-count,Average Diameter,Convex Hull,0,71,1.0
156,colors-count_equate_1_117,colors-count,Average Diameter,Convex Hull,0,71,1.0
157,colors-count_equate_1_118,colors-count,Average Diameter,Convex Hull,0,71,1.0
158,colors-count_equate_1_119,colors-count,Average Diameter,Convex Hull,0,71,1.0
159,colors-count_equate_1_120,colors-count,Average Diameter,Convex Hull,0,71,1.0
160,colors-count_equate_1_101,colors-count,Average Diameter,Convex Hull,1,75,1.0
161,colors-count_equate_1_102,colors-count,Average Diameter,Convex Hull,1,75,1.0
162,colors-count_equate_1_103,colors-count,Average Diameter,Convex Hull,1,75,1.0
163,colors-count_equate_1_104,colors-count,Average Diameter,Convex Hull,1,75,1.0
164,colors-count_equate_1_105,colors-count,Average Diameter,Convex Hull,1,75,1.0
165,colors-count_equate_1_106,colors-count,Average Diameter,Convex Hull,1,75,1.0
166,colors-count_equate_1_107,colors-count,Average Diameter,Convex Hull,1,75,1.0
167,colors-count_equate_1_108,colors-count,Average Diameter,Convex Hull,1,75,1.0
168,colors-count_equate_1_109,colors-count,Average Diameter,Convex Hull,1,75,1.0
169,colors-count_equate_1_110,colors-count,Average Diameter,Convex Hull,1,75,1.0
170,colors-count_equate_1_111,colors-count,Average Diameter,Convex Hull,1,75,1.0
171,colors-count_equate_1_112,colors-count,Average Diameter,Convex Hull,1,75,1.0
172,colors-count_equate_1_113,colors-count,Average Diameter,Convex Hull,1,75,1.0
173,colors-count_equate_1_114,colors-count,Average Diameter,Convex Hull,1,75,1.0
174,colors-count_equate_1_115,colors-count,Average Diameter,Convex Hull,1,75,1.0
175,colors-count_equate_1_116,colors-count,Average Diameter,Convex Hull,1,75,1.0
176,colors-count_equate_1_117,colors-count,Average Diameter,Convex Hull,1,75,1.0
177,colors-count_equate_1_118,colors-count,Average Diameter,Convex Hull,1,75,1.0
178,colors-count_equate_1_119,colors-count,Average Diameter,Convex Hull,1,75,1.0
179,colors-count_equate_1_120,colors-count,Average Diameter,Convex Hull,1,75,1.0
180,colors-count_equate_1_101,colors-count,Average Diameter,Convex Hull,0,75,0.95
181,colors-count_equate_1_102,colors-count,Average Diameter,Convex Hull,0,75,0.95
182,colors-count_equate_1_103,colors-count,Average Diameter,Convex Hull,0,75,0.95
183,colors-count_equate_1_104,colors-count,Average Diameter,Convex Hull,0,75,0.95
184,colors-count_equate_1_105,colors-count,Average Diameter,Convex Hull,0,75,0.95
185,colors-count_equate_1_106,colors-count,Average Diameter,Convex Hull,0,75,0.95
186,colors-count_equate_1_107,colors-count,Average Diameter,Convex Hull,0,75,0.95
187,colors-count_equate_1_108,colors-count,Average Diameter,Convex Hull,0,75,0.95
188,colors-count_equate_1_109,colors-count,Average Diameter,Convex Hull,0,75,0.95
189,colors-count_equate_1_110,colors-count,Average Diameter,Convex Hull,0,75,0.95
190,colors-count_equate_1_111,colors-count,Average Diameter,Convex Hull,0,75,0.95
191,colors-count_equate_1_112,colors-count,Average Diameter,Convex Hull,0,75,0.95
192,colors-count_equate_1_113,colors-count,Average Diameter,Convex Hull,0,75,0.95
193,colors-count_equate_1_114,colors-count,Average Diameter,Convex Hull,0,75,0.95
194,colors-count_equate_1_115,colors-count,Average Diameter,Convex Hull,0,75,0.95
195,colors-count_equate_1_116,colors-count,Average Diameter,Convex Hull,0,75,0.95
196,colors-count_equate_1_117,colors-count,Average Diameter,Convex Hull,0,75,0.95
197,colors-count_equate_1_118,colors-count,Average Diameter,Convex Hull,0,75,0.95
198,colors-count_equate_1_119,colors-count,Average Diameter,Convex Hull,0,75,0.95
199,colors-count_equate_1_120,colors-count,Average Diameter,Convex Hull,0,75,0.95
200,colors-count_equate_1_101,colors-count,Average Diameter,Convex Hull,1,86,1.0
201,colors-count_equate_1_102,colors-count,Average Diameter,Convex Hull,1,86,1.0
202,colors-count_equate_1_103,colors-count,Average Diameter,Convex Hull,1,86,1.0
203,colors-count_equate_1_104,colors-count,Average Diameter,Convex Hull,1,86,1.0
204,colors-count_equate_1_105,colors-count,Average Diameter,Convex Hull,1,86,1.0
205,colors-count_equate_1_106,colors-count,Average Diameter,Convex Hull,1,86,1.0
206,colors-count_equate_1_107,colors-count,Average Diameter,Convex Hull,1,86,1.0
207,colors-count_equate_1_108,colors-count,Average Diameter,Convex Hull,1,86,1.0
208,colors-count_equate_1_109,colors-count,Average Diameter,Convex Hull,1,86,1.0
209,colors-count_equate_1_110,colors-count,Average Diameter,Convex Hull,1,86,1.0
210,colors-count_equate_1_111,colors-count,Average Diameter,Convex Hull,1,86,1.0
211,colors-count_equate_1_112,colors-count,Average Diameter,Convex Hull,1,86,1.0
212,colors-count_equate_1_113,colors-count,Average Diameter,Convex Hull,1,86,1.0
213,colors-count_equate_1_114,colors-count,Average Diameter,Convex Hull,1,86,1.0
214,colors-count_equate_1_115,colors-count,Average Diameter,Convex Hull,1,86,1.0
215,colors-count_equate_1_116,colors-count,Average Diameter,Convex Hull,1,86,1.0
216,colors-count_equate_1_117,colors-count,Average Diameter,Convex Hull,1,86,1.0
217,colors-count_equate_1_118,colors-count,Average Diameter,Convex Hull,1,86,1.0
218,colors-count_equate_1_119,colors-count,Average Diameter,Convex Hull,1,86,1.0
219,colors-count_equate_1_120,colors-count,Average Diameter,Convex Hull,1,86,1.0
220,colors-count_equate_1_101,colors-count,Average Diameter,Convex Hull,0,86,1.0
221,colors-count_equate_1_102,colors-count,Average Diameter,Convex Hull,0,86,1.0
222,colors-count_equate_1_103,colors-count,Average Diameter,Convex Hull,0,86,1.0
223,colors-count_equate_1_104,colors-count,Average Diameter,Convex Hull,0,86,1.0
224,colors-count_equate_1_105,colors-count,Average Diameter,Convex Hull,0,86,1.0
225,colors-count_equate_1_106,colors-count,Average Diameter,Convex Hull,0,86,1.0
226,colors-count_equate_1_107,colors-count,Average Diameter,Convex Hull,0,86,1.0
227,colors-count_equate_1_108,colors-count,Average Diameter,Convex Hull,0,86,1.0
228,colors-count_equate_1_109,colors-count,Average Diameter,Convex Hull,0,86,1.0
229,colors-count_equate_1_110,colors-count,Average Diameter,Convex Hull,0,86,1.0
230,colors-count_equate_1_111,colors-count,Average Diameter,Convex Hull,0,86,1.0
231,colors-count_equate_1_112,colors-count,Average Diameter,Convex Hull,0,86,1.0
232,colors-count_equate_1_113,colors-count,Average Diameter,Convex Hull,0,86,1.0
233,colors-count_equate_1_114,colors-count,Average Diameter,Convex Hull,0,86,1.0
234,colors-count_equate_1_115,colors-count,Average Diameter,Convex Hull,0,86,1.0
235,colors-count_equate_1_116,colors-count,Average Diameter,Convex Hull,0,86,1.0
236,colors-count_equate_1_117,colors-count,Average Diameter,Convex Hull,0,86,1.0
237,colors-count_equate_1_118,colors-count,Average Diameter,Convex Hull,0,86,1.0
238,colors-count_equate_1_119,colors-count,Average Diameter,Convex Hull,0,86,1.0
239,colors-count_equate_1_120,colors-count,Average Diameter,Convex Hull,0,86,1.0
0,colors-count_equate_1_101,colors-count,Average Diameter,Total Surface Area,1,50,0.75
1,colors-count_equate_1_102,colors-count,Average Diameter,Total Surface Area,1,50,0.75
2,colors-count_equate_1_103,colors-count,Average Diameter,Total Surface Area,1,50,0.75
3,colors-count_equate_1_104,colors-count,Average Diameter,Total Surface Area,1,50,0.75
4,colors-count_equate_1_105,colors-count,Average Diameter,Total Surface Area,1,50,0.75
5,colors-count_equate_1_106,colors-count,Average Diameter,Total Surface Area,1,50,0.75
6,colors-count_equate_1_107,colors-count,Average Diameter,Total Surface Area,1,50,0.75
7,colors-count_equate_1_108,colors-count,Average Diameter,Total Surface Area,1,50,0.75
8,colors-count_equate_1_109,colors-count,Average Diameter,Total Surface Area,1,50,0.75
9,colors-count_equate_1_110,colors-count,Average Diameter,Total Surface Area,1,50,0.75
10,colors-count_equate_1_111,colors-count,Average Diameter,Total Surface Area,1,50,0.75
11,colors-count_equate_1_112,colors-count,Average Diameter,Total Surface Area,1,50,0.75
12,colors-count_equate_1_113,colors-count,Average Diameter,Total Surface Area,1,50,0.75
13,colors-count_equate_1_114,colors-count,Average Diameter,Total Surface Area,1,50,0.75
14,colors-count_equate_1_115,colors-count,Average Diameter,Total Surface Area,1,50,0.75
15,colors-count_equate_1_116,colors-count,Average Diameter,Total Surface Area,1,50,0.75
16,colors-count_equate_1_117,colors-count,Average Diameter,Total Surface Area,1,50,0.75
17,colors-count_equate_1_118,colors-count,Average Diameter,Total Surface Area,1,50,0.75
18,colors-count_equate_1_119,colors-count,Average Diameter,Total Surface Area,1,50,0.75
19,colors-count_equate_1_120,colors-count,Average Diameter,Total Surface Area,1,50,0.75
20,colors-count_equate_1_101,colors-count,Average Diameter,Total Surface Area,0,50,0.75
21,colors-count_equate_1_102,colors-count,Average Diameter,Total Surface Area,0,50,0.75
22,colors-count_equate_1_103,colors-count,Average Diameter,Total Surface Area,0,50,0.75
23,colors-count_equate_1_104,colors-count,Average Diameter,Total Surface Area,0,50,0.75
24,colors-count_equate_1_105,colors-count,Average Diameter,Total Surface Area,0,50,0.75
25,colors-count_equate_1_106,colors-count,Average Diameter,Total Surface Area,0,50,0.75
26,colors-count_equate_1_107,colors-count,Average Diameter,Total Surface Area,0,50,0.75
27,colors-count_equate_1_108,colors-count,Average Diameter,Total Surface Area,0,50,0.75
28,colors-count_equate_1_109,colors-count,Average Diameter,Total Surface Area,0,50,0.75
29,colors-count_equate_1_110,colors-count,Average Diameter,Total Surface Area,0,50,0.75
30,colors-count_equate_1_111,colors-count,Average Diameter,Total Surface Area,0,50,0.75
31,colors-count_equate_1_112,colors-count,Average Diameter,Total Surface Area,0,50,0.75
32,colors-count_equate_1_113,colors-count,Average Diameter,Total Surface Area,0,50,0.75
33,colors-count_equate_1_114,colors-count,Average Diameter,Total Surface Area,0,50,0.75
34,colors-count_equate_1_115,colors-count,Average Diameter,Total Surface Area,0,50,0.75
35,colors-count_equate_1_116,colors-count,Average Diameter,Total Surface Area,0,50,0.75
36,colors-count_equate_1_117,colors-count,Average Diameter,Total Surface Area,0,50,0.75
37,colors-count_equate_1_118,colors-count,Average Diameter,Total Surface Area,0,50,0.75
38,colors-count_equate_1_119,colors-count,Average Diameter,Total Surface Area,0,50,0.75
39,colors-count_equate_1_120,colors-count,Average Diameter,Total Surface Area,0,50,0.75
40,colors-count_equate_1_101,colors-count,Average Diameter,Total Surface Area,1,56,0.55
41,colors-count_equate_1_102,colors-count,Average Diameter,Total Surface Area,1,56,0.55
42,colors-count_equate_1_103,colors-count,Average Diameter,Total Surface Area,1,56,0.55
43,colors-count_equate_1_104,colors-count,Average Diameter,Total Surface Area,1,56,0.55
44,colors-count_equate_1_105,colors-count,Average Diameter,Total Surface Area,1,56,0.55
45,colors-count_equate_1_106,colors-count,Average Diameter,Total Surface Area,1,56,0.55
46,colors-count_equate_1_107,colors-count,Average Diameter,Total Surface Area,1,56,0.55
47,colors-count_equate_1_108,colors-count,Average Diameter,Total Surface Area,1,56,0.55
48,colors-count_equate_1_109,colors-count,Average Diameter,Total Surface Area,1,56,0.55
49,colors-count_equate_1_110,colors-count,Average Diameter,Total Surface Area,1,56,0.55
50,colors-count_equate_1_111,colors-count,Average Diameter,Total Surface Area,1,56,0.55
51,colors-count_equate_1_112,colors-count,Average Diameter,Total Surface Area,1,56,0.55
52,colors-count_equate_1_113,colors-count,Average Diameter,Total Surface Area,1,56,0.55
53,colors-count_equate_1_114,colors-count,Average Diameter,Total Surface Area,1,56,0.55
54,colors-count_equate_1_115,colors-count,Average Diameter,Total Surface Area,1,56,0.55
55,colors-count_equate_1_116,colors-count,Average Diameter,Total Surface Area,1,56,0.55
56,colors-count_equate_1_117,colors-count,Average Diameter,Total Surface Area,1,56,0.55
57,colors-count_equate_1_118,colors-count,Average Diameter,Total Surface Area,1,56,0.55
58,colors-count_equate_1_119,colors-count,Average Diameter,Total Surface Area,1,56,0.55
59,colors-count_equate_1_120,colors-count,Average Diameter,Total Surface Area,1,56,0.55
60,colors-count_equate_1_101,colors-count,Average Diameter,Total Surface Area,0,56,0.4
61,colors-count_equate_1_102,colors-count,Average Diameter,Total Surface Area,0,56,0.4
62,colors-count_equate_1_103,colors-count,Average Diameter,Total Surface Area,0,56,0.4
63,colors-count_equate_1_104,colors-count,Average Diameter,Total Surface Area,0,56,0.4
64,colors-count_equate_1_105,colors-count,Average Diameter,Total Surface Area,0,56,0.4
65,colors-count_equate_1_106,colors-count,Average Diameter,Total Surface Area,0,56,0.4
66,colors-count_equate_1_107,colors-count,Average Diameter,Total Surface Area,0,56,0.4
67,colors-count_equate_1_108,colors-count,Average Diameter,Total Surface Area,0,56,0.4
68,colors-count_equate_1_109,colors-count,Average Diameter,Total Surface Area,0,56,0.4
69,colors-count_equate_1_110,colors-count,Average Diameter,Total Surface Area,0,56,0.4
70,colors-count_equate_1_111,colors-count,Average Diameter,Total Surface Area,0,56,0.4
71,colors-count_equate_1_112,colors-count,Average Diameter,Total Surface Area,0,56,0.4
72,colors-count_equate_1_113,colors-count,Average Diameter,Total Surface Area,0,56,0.4
73,colors-count_equate_1_114,colors-count,Average Diameter,Total Surface Area,0,56,0.4
74,colors-count_equate_1_115,colors-count,Average Diameter,Total Surface Area,0,56,0.4
75,colors-count_equate_1_116,colors-count,Average Diameter,Total Surface Area,0,56,0.4
76,colors-count_equate_1_117,colors-count,Average Diameter,Total Surface Area,0,56,0.4
77,colors-count_equate_1_118,colors-count,Average Diameter,Total Surface Area,0,56,0.4
78,colors-count_equate_1_119,colors-count,Average Diameter,Total Surface Area,0,56,0.4
79,colors-count_equate_1_120,colors-count,Average Diameter,Total Surface Area,0,56,0.4
80,colors-count_equate_1_101,colors-count,Average Diameter,Total Surface Area,1,63,0.25
81,colors-count_equate_1_102,colors-count,Average Diameter,Total Surface Area,1,63,0.25
82,colors-count_equate_1_103,colors-count,Average Diameter,Total Surface Area,1,63,0.25
83,colors-count_equate_1_104,colors-count,Average Diameter,Total Surface Area,1,63,0.25
84,colors-count_equate_1_105,colors-count,Average Diameter,Total Surface Area,1,63,0.25
85,colors-count_equate_1_106,colors-count,Average Diameter,Total Surface Area,1,63,0.25
86,colors-count_equate_1_107,colors-count,Average Diameter,Total Surface Area,1,63,0.25
87,colors-count_equate_1_108,colors-count,Average Diameter,Total Surface Area,1,63,0.25
88,colors-count_equate_1_109,colors-count,Average Diameter,Total Surface Area,1,63,0.25
89,colors-count_equate_1_110,colors-count,Average Diameter,Total Surface Area,1,63,0.25
90,colors-count_equate_1_111,colors-count,Average Diameter,Total Surface Area,1,63,0.25
91,colors-count_equate_1_112,colors-count,Average Diameter,Total Surface Area,1,63,0.25
92,colors-count_equate_1_113,colors-count,Average Diameter,Total Surface Area,1,63,0.25
93,colors-count_equate_1_114,colors-count,Average Diameter,Total Surface Area,1,63,0.25
94,colors-count_equate_1_115,colors-count,Average Diameter,Total Surface Area,1,63,0.25
95,colors-count_equate_1_116,colors-count,Average Diameter,Total Surface Area,1,63,0.25
96,colors-count_equate_1_117,colors-count,Average Diameter,Total Surface Area,1,63,0.25
97,colors-count_equate_1_118,colors-count,Average Diameter,Total Surface Area,1,63,0.25
98,colors-count_equate_1_119,colors-count,Average Diameter,Total Surface Area,1,63,0.25
99,colors-count_equate_1_120,colors-count,Average Diameter,Total Surface Area,1,63,0.25
100,colors-count_equate_1_101,colors-count,Average Diameter,Total Surface Area,0,63,0.25
101,colors-count_equate_1_102,colors-count,Average Diameter,Total Surface Area,0,63,0.25
102,colors-count_equate_1_103,colors-count,Average Diameter,Total Surface Area,0,63,0.25
103,colors-count_equate_1_104,colors-count,Average Diameter,Total Surface Area,0,63,0.25
104,colors-count_equate_1_105,colors-count,Average Diameter,Total Surface Area,0,63,0.25
105,colors-count_equate_1_106,colors-count,Average Diameter,Total Surface Area,0,63,0.25
106,colors-count_equate_1_107,colors-count,Average Diameter,Total Surface Area,0,63,0.25
107,colors-count_equate_1_108,colors-count,Average Diameter,Total Surface Area,0,63,0.25
108,colors-count_equate_1_109,colors-count,Average Diameter,Total Surface Area,0,63,0.25
109,colors-count_equate_1_110,colors-count,Average Diameter,Total Surface Area,0,63,0.25
110,colors-count_equate_1_111,colors-count,Average Diameter,Total Surface Area,0,63,0.25
111,colors-count_equate_1_112,colors-count,Average Diameter,Total Surface Area,0,63,0.25
112,colors-count_equate_1_113,colors-count,Average Diameter,Total Surface Area,0,63,0.25
113,colors-count_equate_1_114,colors-count,Average Diameter,Total Surface Area,0,63,0.25
114,colors-count_equate_1_115,colors-count,Average Diameter,Total Surface Area,0,63,0.25
115,colors-count_equate_1_116,colors-count,Average Diameter,Total Surface Area,0,63,0.25
116,colors-count_equate_1_117,colors-count,Average Diameter,Total Surface Area,0,63,0.25
117,colors-count_equate_1_118,colors-count,Average Diameter,Total Surface Area,0,63,0.25
118,colors-count_equate_1_119,colors-count,Average Diameter,Total Surface Area,0,63,0.25
119,colors-count_equate_1_120,colors-count,Average Diameter,Total Surface Area,0,63,0.25
120,colors-count_equate_1_101,colors-count,Average Diameter,Total Surface Area,1,71,0.25
121,colors-count_equate_1_102,colors-count,Average Diameter,Total Surface Area,1,71,0.25
122,colors-count_equate_1_103,colors-count,Average Diameter,Total Surface Area,1,71,0.25
123,colors-count_equate_1_104,colors-count,Average Diameter,Total Surface Area,1,71,0.25
124,colors-count_equate_1_105,colors-count,Average Diameter,Total Surface Area,1,71,0.25
125,colors-count_equate_1_106,colors-count,Average Diameter,Total Surface Area,1,71,0.25
126,colors-count_equate_1_107,colors-count,Average Diameter,Total Surface Area,1,71,0.25
127,colors-count_equate_1_108,colors-count,Average Diameter,Total Surface Area,1,71,0.25
128,colors-count_equate_1_109,colors-count,Average Diameter,Total Surface Area,1,71,0.25
129,colors-count_equate_1_110,colors-count,Average Diameter,Total Surface Area,1,71,0.25
130,colors-count_equate_1_111,colors-count,Average Diameter,Total Surface Area,1,71,0.25
131,colors-count_equate_1_112,colors-count,Average Diameter,Total Surface Area,1,71,0.25
132,colors-count_equate_1_113,colors-count,Average Diameter,Total Surface Area,1,71,0.25
133,colors-count_equate_1_114,colors-count,Average Diameter,Total Surface Area,1,71,0.25
134,colors-count_equate_1_115,colors-count,Average Diameter,Total Surface Area,1,71,0.25
135,colors-count_equate_1_116,colors-count,Average Diameter,Total Surface Area,1,71,0.25
136,colors-count_equate_1_117,colors-count,Average Diameter,Total Surface Area,1,71,0.25
137,colors-count_equate_1_118,colors-count,Average Diameter,Total Surface Area,1,71,0.25
138,colors-count_equate_1_119,colors-count,Average Diameter,Total Surface Area,1,71,0.25
139,colors-count_equate_1_120,colors-count,Average Diameter,Total Surface Area,1,71,0.25
140,colors-count_equate_1_101,colors-count,Average Diameter,Total Surface Area,0,71,0.25
141,colors-count_equate_1_102,colors-count,Average Diameter,Total Surface Area,0,71,0.25
142,colors-count_equate_1_103,colors-count,Average Diameter,Total Surface Area,0,71,0.25
143,colors-count_equate_1_104,colors-count,Average Diameter,Total Surface Area,0,71,0.25
144,colors-count_equate_1_105,colors-count,Average Diameter,Total Surface Area,0,71,0.25
145,colors-count_equate_1_106,colors-count,Average Diameter,Total Surface Area,0,71,0.25
146,colors-count_equate_1_107,colors-count,Average Diameter,Total Surface Area,0,71,0.25
147,colors-count_equate_1_108,colors-count,Average Diameter,Total Surface Area,0,71,0.25
148,colors-count_equate_1_109,colors-count,Average Diameter,Total Surface Area,0,71,0.25
149,colors-count_equate_1_110,colors-count,Average Diameter,Total Surface Area,0,71,0.25
150,colors-count_equate_1_111,colors-count,Average Diameter,Total Surface Area,0,71,0.25
151,colors-count_equate_1_112,colors-count,Average Diameter,Total Surface Area,0,71,0.25
152,colors-count_equate_1_113,colors-count,Average Diameter,Total Surface Area,0,71,0.25
153,colors-count_equate_1_114,colors-count,Average Diameter,Total Surface Area,0,71,0.25
154,colors-count_equate_1_115,colors-count,Average Diameter,Total Surface Area,0,71,0.25
155,colors-count_equate_1_116,colors-count,Average Diameter,Total Surface Area,0,71,0.25
156,colors-count_equate_1_117,colors-count,Average Diameter,Total Surface Area,0,71,0.25
157,colors-count_equate_1_118,colors-count,Average Diameter,Total Surface Area,0,71,0.25
158,colors-count_equate_1_119,colors-count,Average Diameter,Total Surface Area,0,71,0.25
159,colors-count_equate_1_120,colors-count,Average Diameter,Total Surface Area,0,71,0.25
160,colors-count_equate_1_101,colors-count,Average Diameter,Total Surface Area,1,75,0.5
161,colors-count_equate_1_102,colors-count,Average Diameter,Total Surface Area,1,75,0.5
162,colors-count_equate_1_103,colors-count,Average Diameter,Total Surface Area,1,75,0.5
163,colors-count_equate_1_104,colors-count,Average Diameter,Total Surface Area,1,75,0.5
164,colors-count_equate_1_105,colors-count,Average Diameter,Total Surface Area,1,75,0.5
165,colors-count_equate_1_106,colors-count,Average Diameter,Total Surface Area,1,75,0.5
166,colors-count_equate_1_107,colors-count,Average Diameter,Total Surface Area,1,75,0.5
167,colors-count_equate_1_108,colors-count,Average Diameter,Total Surface Area,1,75,0.5
168,colors-count_equate_1_109,colors-count,Average Diameter,Total Surface Area,1,75,0.5
169,colors-count_equate_1_110,colors-count,Average Diameter,Total Surface Area,1,75,0.5
170,colors-count_equate_1_111,colors-count,Average Diameter,Total Surface Area,1,75,0.5
171,colors-count_equate_1_112,colors-count,Average Diameter,Total Surface Area,1,75,0.5
172,colors-count_equate_1_113,colors-count,Average Diameter,Total Surface Area,1,75,0.5
173,colors-count_equate_1_114,colors-count,Average Diameter,Total Surface Area,1,75,0.5
174,colors-count_equate_1_115,colors-count,Average Diameter,Total Surface Area,1,75,0.5
175,colors-count_equate_1_116,colors-count,Average Diameter,Total Surface Area,1,75,0.5
176,colors-count_equate_1_117,colors-count,Average Diameter,Total Surface Area,1,75,0.5
177,colors-count_equate_1_118,colors-count,Average Diameter,Total Surface Area,1,75,0.5
178,colors-count_equate_1_119,colors-count,Average Diameter,Total Surface Area,1,75,0.5
179,colors-count_equate_1_120,colors-count,Average Diameter,Total Surface Area,1,75,0.5
180,colors-count_equate_1_101,colors-count,Average Diameter,Total Surface Area,0,75,0.25
181,colors-count_equate_1_102,colors-count,Average Diameter,Total Surface Area,0,75,0.25
182,colors-count_equate_1_103,colors-count,Average Diameter,Total Surface Area,0,75,0.25
183,colors-count_equate_1_104,colors-count,Average Diameter,Total Surface Area,0,75,0.25
184,colors-count_equate_1_105,colors-count,Average Diameter,Total Surface Area,0,75,0.25
185,colors-count_equate_1_106,colors-count,Average Diameter,Total Surface Area,0,75,0.25
186,colors-count_equate_1_107,colors-count,Average Diameter,Total Surface Area,0,75,0.25
187,colors-count_equate_1_108,colors-count,Average Diameter,Total Surface Area,0,75,0.25
188,colors-count_equate_1_109,colors-count,Average Diameter,Total Surface Area,0,75,0.25
189,colors-count_equate_1_110,colors-count,Average Diameter,Total Surface Area,0,75,0.25
190,colors-count_equate_1_111,colors-count,Average Diameter,Total Surface Area,0,75,0.25
191,colors-count_equate_1_112,colors-count,Average Diameter,Total Surface Area,0,75,0.25
192,colors-count_equate_1_113,colors-count,Average Diameter,Total Surface Area,0,75,0.25
193,colors-count_equate_1_114,colors-count,Average Diameter,Total Surface Area,0,75,0.25
194,colors-count_equate_1_115,colors-count,Average Diameter,Total Surface Area,0,75,0.25
195,colors-count_equate_1_116,colors-count,Average Diameter,Total Surface Area,0,75,0.25
196,colors-count_equate_1_117,colors-count,Average Diameter,Total Surface Area,0,75,0.25
197,colors-count_equate_1_118,colors-count,Average Diameter,Total Surface Area,0,75,0.25
198,colors-count_equate_1_119,colors-count,Average Diameter,Total Surface Area,0,75,0.25
199,colors-count_equate_1_120,colors-count,Average Diameter,Total Surface Area,0,75,0.25
200,colors-count_equate_1_101,colors-count,Average Diameter,Total Surface Area,1,86,0.25
201,colors-count_equate_1_102,colors-count,Average Diameter,Total Surface Area,1,86,0.25
202,colors-count_equate_1_103,colors-count,Average Diameter,Total Surface Area,1,86,0.25
203,colors-count_equate_1_104,colors-count,Average Diameter,Total Surface Area,1,86,0.25
204,colors-count_equate_1_105,colors-count,Average Diameter,Total Surface Area,1,86,0.25
205,colors-count_equate_1_106,colors-count,Average Diameter,Total Surface Area,1,86,0.25
206,colors-count_equate_1_107,colors-count,Average Diameter,Total Surface Area,1,86,0.25
207,colors-count_equate_1_108,colors-count,Average Diameter,Total Surface Area,1,86,0.25
208,colors-count_equate_1_109,colors-count,Average Diameter,Total Surface Area,1,86,0.25
209,colors-count_equate_1_110,colors-count,Average Diameter,Total Surface Area,1,86,0.25
210,colors-count_equate_1_111,colors-count,Average Diameter,Total Surface Area,1,86,0.25
211,colors-count_equate_1_112,colors-count,Average Diameter,Total Surface Area,1,86,0.25
212,colors-count_equate_1_113,colors-count,Average Diameter,Total Surface Area,1,86,0.25
213,colors-count_equate_1_114,colors-count,Average Diameter,Total Surface Area,1,86,0.25
214,colors-count_equate_1_115,colors-count,Average Diameter,Total Surface Area,1,86,0.25
215,colors-count_equate_1_116,colors-count,Average Diameter,Total Surface Area,1,86,0.25
216,colors-count_equate_1_117,colors-count,Average Diameter,Total Surface Area,1,86,0.25
217,colors-count_equate_1_118,colors-count,Average Diameter,Total Surface Area,1,86,0.25
