Index,UNIQUE_SUBJECT_UID,Task,Train,Test,Congruency,Ratio,Validation Accuracy
78,size_equate_1_179,size,Average Diameter,Average Diameter,0,56,1.0
79,size_equate_1_180,size,Average Diameter,Average Diameter,0,56,0.95
80,size_equate_1_161,size,Average Diameter,Average Diameter,1,63,1.0
81,size_equate_1_162,size,Average Diameter,Average Diameter,1,63,1.0
82,size_equate_1_163,size,Average Diameter,Average Diameter,1,63,1.0
83,size_equate_1_164,size,Average Diameter,Average Diameter,1,63,1.0
84,size_equate_1_165,size,Average Diameter,Average Diameter,1,63,1.0
85,size_equate_1_166,size,Average Diameter,Average Diameter,1,63,1.0
86,size_equate_1_167,size,Average Diameter,Average Diameter,1,63,1.0
87,size_equate_1_168,size,Average Diameter,Average Diameter,1,63,1.0
88,size_equate_1_169,size,Average Diameter,Average Diameter,1,63,1.0
89,size_equate_1_170,size,Average Diameter,Average Diameter,1,63,1.0
90,size_equate_1_171,size,Average Diameter,Average Diameter,1,63,1.0
91,size_equate_1_172,size,Average Diameter,Average Diameter,1,63,1.0
92,size_equate_1_173,size,Average Diameter,Average Diameter,1,63,1.0
93,size_equate_1_174,size,Average Diameter,Average Diameter,1,63,1.0
94,size_equate_1_175,size,Average Diameter,Average Diameter,1,63,1.0
95,size_equate_1_176,size,Average Diameter,Average Diameter,1,63,1.0
96,size_equate_1_177,size,Average Diameter,Average Diameter,1,63,0.0
97,size_equate_1_178,size,Average Diameter,Average Diameter,1,63,1.0
98,size_equate_1_179,size,Average Diameter,Average Diameter,1,63,1.0
99,size_equate_1_180,size,Average Diameter,Average Diameter,1,63,1.0
100,size_equate_1_161,size,Average Diameter,Average Diameter,0,63,1.0
101,size_equate_1_162,size,Average Diameter,Average Diameter,0,63,1.0
102,size_equate_1_163,size,Average Diameter,Average Diameter,0,63,0.8
103,size_equate_1_164,size,Average Diameter,Average Diameter,0,63,0.95
104,size_equate_1_165,size,Average Diameter,Average Diameter,0,63,1.0
105,size_equate_1_166,size,Average Diameter,Average Diameter,0,63,1.0
106,size_equate_1_167,size,Average Diameter,Average Diameter,0,63,1.0
107,size_equate_1_168,size,Average Diameter,Average Diameter,0,63,1.0
108,size_equate_1_169,size,Average Diameter,Average Diameter,0,63,1.0
109,size_equate_1_170,size,Average Diameter,Average Diameter,0,63,1.0
110,size_equate_1_171,size,Average Diameter,Average Diameter,0,63,1.0
111,size_equate_1_172,size,Average Diameter,Average Diameter,0,63,1.0
112,size_equate_1_173,size,Average Diameter,Average Diameter,0,63,1.0
113,size_equate_1_174,size,Average Diameter,Average Diameter,0,63,1.0
114,size_equate_1_175,size,Average Diameter,Average Diameter,0,63,1.0
115,size_equate_1_176,size,Average Diameter,Average Diameter,0,63,1.0
116,size_equate_1_177,size,Average Diameter,Average Diameter,0,63,0.95
117,size_equate_1_178,size,Average Diameter,Average Diameter,0,63,0.4
118,size_equate_1_179,size,Average Diameter,Average Diameter,0,63,0.75
119,size_equate_1_180,size,Average Diameter,Average Diameter,0,63,0.95
120,size_equate_1_161,size,Average Diameter,Average Diameter,1,71,1.0
121,size_equate_1_162,size,Average Diameter,Average Diameter,1,71,1.0
122,size_equate_1_163,size,Average Diameter,Average Diameter,1,71,1.0
123,size_equate_1_164,size,Average Diameter,Average Diameter,1,71,1.0
124,size_equate_1_165,size,Average Diameter,Average Diameter,1,71,1.0
125,size_equate_1_166,size,Average Diameter,Average Diameter,1,71,1.0
126,size_equate_1_167,size,Average Diameter,Average Diameter,1,71,1.0
127,size_equate_1_168,size,Average Diameter,Average Diameter,1,71,1.0
128,size_equate_1_169,size,Average Diameter,Average Diameter,1,71,1.0
129,size_equate_1_170,size,Average Diameter,Average Diameter,1,71,1.0
130,size_equate_1_171,size,Average Diameter,Average Diameter,1,71,1.0
131,size_equate_1_172,size,Average Diameter,Average Diameter,1,71,1.0
132,size_equate_1_173,size,Average Diameter,Average Diameter,1,71,1.0
133,size_equate_1_174,size,Average Diameter,Average Diameter,1,71,0.95
134,size_equate_1_175,size,Average Diameter,Average Diameter,1,71,1.0
135,size_equate_1_176,size,Average Diameter,Average Diameter,1,71,1.0
136,size_equate_1_177,size,Average Diameter,Average Diameter,1,71,0.0
137,size_equate_1_178,size,Average Diameter,Average Diameter,1,71,1.0
138,size_equate_1_179,size,Average Diameter,Average Diameter,1,71,1.0
139,size_equate_1_180,size,Average Diameter,Average Diameter,1,71,1.0
140,size_equate_1_161,size,Average Diameter,Average Diameter,0,71,0.95
141,size_equate_1_162,size,Average Diameter,Average Diameter,0,71,0.9
142,size_equate_1_163,size,Average Diameter,Average Diameter,0,71,0.8
143,size_equate_1_164,size,Average Diameter,Average Diameter,0,71,0.75
144,size_equate_1_165,size,Average Diameter,Average Diameter,0,71,0.85
145,size_equate_1_166,size,Average Diameter,Average Diameter,0,71,0.95
146,size_equate_1_167,size,Average Diameter,Average Diameter,0,71,0.9
147,size_equate_1_168,size,Average Diameter,Average Diameter,0,71,0.9
148,size_equate_1_169,size,Average Diameter,Average Diameter,0,71,0.95
