,Task,Train,Congruity,Test,Ratio,Accuracy,std
155,count,CH-controlled,Congruent,CH-controlled,75,0.8775,0.08656454847
156,count,CH-controlled,Congruent,CH-controlled,86,0.7525,0.06171880205
157,count,CH-controlled,Congruent,TS-controlled,50,0.81,0.1220439955
158,count,CH-controlled,Congruent,TS-controlled,56,0.7775,0.1240490141
159,count,CH-controlled,Congruent,TS-controlled,63,0.88,0.101825444
160,count,CH-controlled,Congruent,TS-controlled,71,0.7125,0.08564768716
161,count,CH-controlled,Congruent,TS-controlled,75,0.685,0.09610849133
162,count,CH-controlled,Congruent,TS-controlled,86,0.635,0.07626132358
181,count,TS-controlled,Congruent,AD-controlled,50,0.815,0.1598519051
182,count,TS-controlled,Congruent,AD-controlled,56,0.9375,0.14498185
183,count,TS-controlled,Congruent,AD-controlled,63,0.95,0.1709108724
184,count,TS-controlled,Congruent,AD-controlled,71,0.925,0.1593572617
185,count,TS-controlled,Congruent,AD-controlled,75,0.935,0.1531253357
186,count,TS-controlled,Congruent,AD-controlled,86,0.8525,0.1381027459
187,count,TS-controlled,Congruent,CH-controlled,50,0.9025,0.131264097
188,count,TS-controlled,Congruent,CH-controlled,56,0.8925,0.1462469073
189,count,TS-controlled,Congruent,CH-controlled,63,0.8,0.1203066258
190,count,TS-controlled,Congruent,CH-controlled,71,0.84,0.1447320573
191,count,TS-controlled,Congruent,CH-controlled,75,0.88,0.1576137851
192,count,TS-controlled,Congruent,CH-controlled,86,0.86,0.1500876937
193,count,TS-controlled,Congruent,TS-controlled,50,0.8425,0.115022881
194,count,TS-controlled,Congruent,TS-controlled,56,0.945,0.1555127343
195,count,TS-controlled,Congruent,TS-controlled,63,0.9175,0.1726534405
196,count,TS-controlled,Congruent,TS-controlled,71,0.8475,0.1302578415
197,count,TS-controlled,Congruent,TS-controlled,75,0.71,0.1220439955
198,count,TS-controlled,Congruent,TS-controlled,86,0.8425,0.1489215618
217,size-count,AD-controlled,Congruent,AD-controlled,50,0.9875,0.03193331868
218,size-count,AD-controlled,Congruent,AD-controlled,56,0.995,0.01538967528
219,size-count,AD-controlled,Congruent,AD-controlled,63,0.985,0.04006573546
220,size-count,AD-controlled,Congruent,AD-controlled,71,0.935,0.07796760461
221,size-count,AD-controlled,Congruent,AD-controlled,75,0.9475,0.1044723585
222,size-count,AD-controlled,Congruent,AD-controlled,86,0.8475,0.1499780686
223,size-count,AD-controlled,Congruent,CH-controlled,50,0.9325,0.08155559938
224,size-count,AD-controlled,Congruent,CH-controlled,56,0.925,0.1381265629
