,UNIQUE_SUBJECT_UID,Task,Generations,Train,Test,Congruity,Ratio,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,Layers,Neurons,Activation,Optimizer
35,size_equate_1_136,size,7,AD-controlled,AD-controlled,Incongruent,50,0.85,0.85,0.4994,0.4994,5,"[64, 64, 64, 128, 64]",elu,adam
36,size_equate_1_137,size,7,AD-controlled,AD-controlled,Incongruent,50,0.9,0.9,0.5742,0.5742,4,"[64, 16, 64, 128]",elu,adagrad
37,size_equate_1_138,size,7,AD-controlled,AD-controlled,Incongruent,50,1.0,1.0,0.2643,0.2643,4,"[128, 64, 16, 128]",elu,adam
38,size_equate_1_139,size,7,AD-controlled,AD-controlled,Incongruent,50,0.9,0.9,0.514,0.514,5,"[64, 16, 16, 64, 32]",elu,adam
39,size_equate_1_140,size,7,AD-controlled,AD-controlled,Incongruent,50,0.9,0.9,0.5037,0.5037,4,"[64, 64, 64, 32]",elu,adam
40,size_equate_1_121,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.1142,0.1142,4,"[128, 16, 16, 128]",elu,adam
41,size_equate_1_122,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.5074,0.5074,4,"[16, 16, 64, 32]",relu,adagrad
42,size_equate_1_123,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.0595,0.0595,4,"[16, 16, 64, 128]",relu,adam
43,size_equate_1_124,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.5297,0.5297,4,"[64, 16, 128, 16]",elu,adam
44,size_equate_1_125,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.4039,0.4039,4,"[32, 16, 16, 32]",elu,nadam
45,size_equate_1_126,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.0696,0.0696,4,"[64, 16, 64, 64]",elu,adam
46,size_equate_1_127,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.4156,0.4156,4,"[64, 16, 64, 16]",elu,adam
47,size_equate_1_128,size,7,AD-controlled,AD-controlled,Congruent,56,0.35,0.35,,,4,"[64, 16, 64, 32]",elu,sgd
48,size_equate_1_129,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.0908,0.0908,4,"[128, 16, 16, 64]",elu,nadam
49,size_equate_1_130,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.5974,0.5974,4,"[16, 64, 16, 16]",relu,adam
50,size_equate_1_131,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.2581,0.2581,4,"[64, 16, 16, 128]",relu,adam
51,size_equate_1_132,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.0974,0.0974,4,"[64, 16, 64, 64]",elu,nadam
52,size_equate_1_133,size,7,AD-controlled,AD-controlled,Congruent,56,0.95,0.95,0.6366,0.6366,4,"[32, 64, 16, 16]",relu,adam
53,size_equate_1_134,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.4845,0.4845,4,"[128, 32, 16, 16]",elu,adam
54,size_equate_1_135,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.3028,0.3028,4,"[64, 32, 64, 32]",elu,adam
55,size_equate_1_136,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.0415,0.0415,5,"[64, 64, 64, 128, 64]",elu,adam
56,size_equate_1_137,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.1664,0.1664,4,"[64, 16, 64, 128]",elu,adagrad
57,size_equate_1_138,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.0373,0.0373,4,"[128, 64, 16, 128]",elu,adam
58,size_equate_1_139,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.2298,0.2298,5,"[64, 16, 16, 64, 32]",elu,adam
59,size_equate_1_140,size,7,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.2274,0.2274,4,"[64, 64, 64, 32]",elu,adam
60,size_equate_1_121,size,7,AD-controlled,AD-controlled,Incongruent,56,0.85,0.85,0.416,0.416,4,"[128, 16, 16, 128]",elu,adam
61,size_equate_1_122,size,7,AD-controlled,AD-controlled,Incongruent,56,0.5,0.5,0.6851,0.6851,4,"[16, 16, 64, 32]",relu,adagrad
62,size_equate_1_123,size,7,AD-controlled,AD-controlled,Incongruent,56,0.8,0.8,0.5121,0.5121,4,"[16, 16, 64, 128]",relu,adam
63,size_equate_1_124,size,7,AD-controlled,AD-controlled,Incongruent,56,0.7,0.7,0.6609,0.6609,4,"[64, 16, 128, 16]",elu,adam
