,UNIQUE_SUBJECT_UID,Task,Generations,Train,Test,Congruity,Ratio,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,Layers,Neurons,Activation,Optimizer
191,colors_equate_1_132,colors,7,AD-controlled,TS-controlled,Incongruent,75,1.0,1.0,0.5726,0.5726,3,"[16, 128, 32]",relu,nadam
192,colors_equate_1_133,colors,7,AD-controlled,TS-controlled,Incongruent,75,1.0,1.0,0.5509,0.5509,3,"[32, 32, 32]",relu,nadam
193,colors_equate_1_134,colors,7,AD-controlled,TS-controlled,Incongruent,75,1.0,1.0,0.5988,0.5988,3,"[16, 128, 64]",relu,adagrad
194,colors_equate_1_135,colors,7,AD-controlled,TS-controlled,Incongruent,75,1.0,1.0,0.6377,0.6377,5,"[32, 128, 32, 16, 16]",relu,nadam
195,colors_equate_1_136,colors,7,AD-controlled,TS-controlled,Incongruent,75,0.95,0.95,0.67,0.67,5,"[32, 32, 32, 16, 32]",relu,adam
196,colors_equate_1_137,colors,7,AD-controlled,TS-controlled,Incongruent,75,0.65,0.65,3.5880191655359133e+34,3.5880191655359133e+34,4,"[64, 64, 16, 128]",elu,sgd
197,colors_equate_1_138,colors,7,AD-controlled,TS-controlled,Incongruent,75,1.0,1.0,0.0681,0.0681,2,"[16, 128]",elu,adamax
198,colors_equate_1_139,colors,7,AD-controlled,TS-controlled,Incongruent,75,1.0,1.0,0.4357,0.4357,4,"[16, 128, 32, 16]",elu,adamax
199,colors_equate_1_140,colors,7,AD-controlled,TS-controlled,Incongruent,75,1.0,1.0,0.5033,0.5033,2,"[32, 32]",elu,adamax
200,colors_equate_1_121,colors,7,AD-controlled,TS-controlled,Congruent,86,1.0,1.0,0.0737,0.0737,4,"[16, 32, 16, 128]",elu,adam
201,colors_equate_1_122,colors,7,AD-controlled,TS-controlled,Congruent,86,1.0,1.0,0.171,0.171,3,"[16, 128, 64]",elu,adamax
202,colors_equate_1_123,colors,7,AD-controlled,TS-controlled,Congruent,86,1.0,1.0,0.6433,0.6433,5,"[128, 32, 32, 16, 16]",relu,nadam
203,colors_equate_1_124,colors,7,AD-controlled,TS-controlled,Congruent,86,0.45,0.45,3033.824,3033.824,5,"[32, 16, 16, 16, 64]",relu,sgd
204,colors_equate_1_125,colors,7,AD-controlled,TS-controlled,Congruent,86,1.0,1.0,0.6266,0.6266,3,"[32, 128, 16]",relu,adagrad
205,colors_equate_1_126,colors,7,AD-controlled,TS-controlled,Congruent,86,1.0,1.0,0.142,0.142,3,"[64, 64, 32]",elu,adam
206,colors_equate_1_127,colors,7,AD-controlled,TS-controlled,Congruent,86,1.0,1.0,0.4437,0.4437,4,"[64, 64, 128, 128]",relu,adagrad
207,colors_equate_1_128,colors,7,AD-controlled,TS-controlled,Congruent,86,0.45,0.45,63300805066752.0,63300805066752.0,2,"[32, 128]",linear,sgd
208,colors_equate_1_129,colors,7,AD-controlled,TS-controlled,Congruent,86,1.0,1.0,0.4293,0.4293,5,"[32, 128, 16, 128, 64]",relu,adam
209,colors_equate_1_130,colors,7,AD-controlled,TS-controlled,Congruent,86,1.0,1.0,0.4959,0.4959,3,"[32, 16, 32]",relu,adam
210,colors_equate_1_131,colors,7,AD-controlled,TS-controlled,Congruent,86,1.0,1.0,0.6114,0.6114,3,"[32, 64, 32]",relu,adagrad
211,colors_equate_1_132,colors,7,AD-controlled,TS-controlled,Congruent,86,1.0,1.0,0.5697,0.5697,3,"[16, 128, 32]",relu,nadam
212,colors_equate_1_133,colors,7,AD-controlled,TS-controlled,Congruent,86,1.0,1.0,0.5482,0.5482,3,"[32, 32, 32]",relu,nadam
213,colors_equate_1_134,colors,7,AD-controlled,TS-controlled,Congruent,86,1.0,1.0,0.5821,0.5821,3,"[16, 128, 64]",relu,adagrad
214,colors_equate_1_135,colors,7,AD-controlled,TS-controlled,Congruent,86,0.95,0.95,0.6532,0.6532,5,"[32, 128, 32, 16, 16]",relu,nadam
215,colors_equate_1_136,colors,7,AD-controlled,TS-controlled,Congruent,86,0.9,0.9,0.6683,0.6683,5,"[32, 32, 32, 16, 32]",relu,adam
216,colors_equate_1_137,colors,7,AD-controlled,TS-controlled,Congruent,86,0.45,0.45,5.638657432267847e+34,5.638657432267847e+34,4,"[64, 64, 16, 128]",elu,sgd
217,colors_equate_1_138,colors,7,AD-controlled,TS-controlled,Congruent,86,1.0,1.0,0.0808,0.0808,2,"[16, 128]",elu,adamax
218,colors_equate_1_139,colors,7,AD-controlled,TS-controlled,Congruent,86,1.0,1.0,0.465,0.465,4,"[16, 128, 32, 16]",elu,adamax
219,colors_equate_1_140,colors,7,AD-controlled,TS-controlled,Congruent,86,1.0,1.0,0.5124,0.5124,2,"[32, 32]",elu,adamax
220,colors_equate_1_121,colors,7,AD-controlled,TS-controlled,Incongruent,86,1.0,1.0,0.0762,0.0762,4,"[16, 32, 16, 128]",elu,adam
221,colors_equate_1_122,colors,7,AD-controlled,TS-controlled,Incongruent,86,1.0,1.0,0.1831,0.1831,3,"[16, 128, 64]",elu,adamax
222,colors_equate_1_123,colors,7,AD-controlled,TS-controlled,Incongruent,86,1.0,1.0,0.6454,0.6454,5,"[128, 32, 32, 16, 16]",relu,nadam
223,colors_equate_1_124,colors,7,AD-controlled,TS-controlled,Incongruent,86,0.5,0.5,2984.7515,2984.7515,5,"[32, 16, 16, 16, 64]",relu,sgd
224,colors_equate_1_125,colors,7,AD-controlled,TS-controlled,Incongruent,86,1.0,1.0,0.6335,0.6335,3,"[32, 128, 16]",relu,adagrad
225,colors_equate_1_126,colors,7,AD-controlled,TS-controlled,Incongruent,86,1.0,1.0,0.1534,0.1534,3,"[64, 64, 32]",elu,adam
226,colors_equate_1_127,colors,7,AD-controlled,TS-controlled,Incongruent,86,1.0,1.0,0.4487,0.4487,4,"[64, 64, 128, 128]",relu,adagrad
227,colors_equate_1_128,colors,7,AD-controlled,TS-controlled,Incongruent,86,0.5,0.5,57616675897344.0,57616675897344.0,2,"[32, 128]",linear,sgd
228,colors_equate_1_129,colors,7,AD-controlled,TS-controlled,Incongruent,86,1.0,1.0,0.4427,0.4427,5,"[32, 128, 16, 128, 64]",relu,adam
229,colors_equate_1_130,colors,7,AD-controlled,TS-controlled,Incongruent,86,1.0,1.0,0.5006,0.5006,3,"[32, 16, 32]",relu,adam
230,colors_equate_1_131,colors,7,AD-controlled,TS-controlled,Incongruent,86,1.0,1.0,0.6169,0.6169,3,"[32, 64, 32]",relu,adagrad
231,colors_equate_1_132,colors,7,AD-controlled,TS-controlled,Incongruent,86,1.0,1.0,0.5856,0.5856,3,"[16, 128, 32]",relu,nadam
232,colors_equate_1_133,colors,7,AD-controlled,TS-controlled,Incongruent,86,1.0,1.0,0.5575,0.5575,3,"[32, 32, 32]",relu,nadam
233,colors_equate_1_134,colors,7,AD-controlled,TS-controlled,Incongruent,86,1.0,1.0,0.5949,0.5949,3,"[16, 128, 64]",relu,adagrad
234,colors_equate_1_135,colors,7,AD-controlled,TS-controlled,Incongruent,86,0.9,0.9,0.6496,0.6496,5,"[32, 128, 32, 16, 16]",relu,nadam
235,colors_equate_1_136,colors,7,AD-controlled,TS-controlled,Incongruent,86,0.9,0.9,0.6686,0.6686,5,"[32, 32, 32, 16, 32]",relu,adam
236,colors_equate_1_137,colors,7,AD-controlled,TS-controlled,Incongruent,86,0.5,0.5,5.1251450486918e+34,5.1251450486918e+34,4,"[64, 64, 16, 128]",elu,sgd
237,colors_equate_1_138,colors,7,AD-controlled,TS-controlled,Incongruent,86,1.0,1.0,0.0868,0.0868,2,"[16, 128]",elu,adamax
238,colors_equate_1_139,colors,7,AD-controlled,TS-controlled,Incongruent,86,1.0,1.0,0.4685,0.4685,4,"[16, 128, 32, 16]",elu,adamax
239,colors_equate_1_140,colors,7,AD-controlled,TS-controlled,Incongruent,86,1.0,1.0,0.5218,0.5218,2,"[32, 32]",elu,adamax
0,colors-count_equate_1_201,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.2534,0.2534,5,"[32, 64, 128, 128, 32]",elu,nadam
1,colors-count_equate_1_202,colors-count,11,AD-controlled,AD-controlled,Congruent,50,0.65,0.65,0.9171,0.9171,4,"[32, 64, 16, 64]",softplus,nadam
2,colors-count_equate_1_203,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.3934,0.3934,3,"[32, 64, 32]",relu,nadam
3,colors-count_equate_1_204,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.2104,0.2104,4,"[32, 64, 16, 64]",relu,adam
4,colors-count_equate_1_205,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.2342,0.2342,4,"[32, 32, 32, 64]",tanh,nadam
5,colors-count_equate_1_206,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.0542,0.0542,5,"[32, 32, 32, 64, 16]",tanh,rmsprop
6,colors-count_equate_1_207,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.3141,0.3141,3,"[32, 128, 32]",relu,nadam
7,colors-count_equate_1_208,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.0733,0.0733,3,"[32, 32, 128]",elu,adam
8,colors-count_equate_1_209,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.5411,0.5411,3,"[128, 128, 128]",relu,nadam
9,colors-count_equate_1_210,colors-count,11,AD-controlled,AD-controlled,Congruent,50,0.95,0.95,0.2969,0.2969,2,"[32, 64]",elu,adagrad
10,colors-count_equate_1_211,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.3762,0.3762,4,"[32, 128, 16, 64]",relu,adamax
11,colors-count_equate_1_212,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.1835,0.1835,2,"[32, 64]",elu,adam
12,colors-count_equate_1_213,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.1476,0.1476,5,"[32, 16, 32, 64, 32]",tanh,nadam
13,colors-count_equate_1_214,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.2385,0.2385,4,"[32, 64, 64, 64]",elu,nadam
14,colors-count_equate_1_215,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.0703,0.0703,4,"[32, 128, 16, 64]",elu,adam
15,colors-count_equate_1_216,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.3523,0.3523,3,"[32, 64, 64]",relu,nadam
16,colors-count_equate_1_217,colors-count,11,AD-controlled,AD-controlled,Congruent,50,0.9,0.9,0.2555,0.2555,2,"[128, 64]",elu,adagrad
17,colors-count_equate_1_218,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.2875,0.2875,3,"[128, 128, 32]",relu,nadam
18,colors-count_equate_1_219,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.1196,0.1196,4,"[128, 128, 128, 64]",relu,nadam
19,colors-count_equate_1_220,colors-count,11,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.3542,0.3542,5,"[32, 32, 32, 64, 32]",tanh,adagrad
20,colors-count_equate_1_201,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.75,0.75,1.3543,1.3543,5,"[32, 64, 128, 128, 32]",elu,nadam
21,colors-count_equate_1_202,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.65,0.65,0.9168,0.9168,4,"[32, 64, 16, 64]",softplus,nadam
22,colors-count_equate_1_203,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.25,0.25,0.8238,0.8238,3,"[32, 64, 32]",relu,nadam
23,colors-count_equate_1_204,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.25,0.25,0.8335,0.8335,4,"[32, 64, 16, 64]",relu,adam
24,colors-count_equate_1_205,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.6,0.6,0.7533,0.7533,4,"[32, 32, 32, 64]",tanh,nadam
25,colors-count_equate_1_206,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.75,0.75,0.6563,0.6563,5,"[32, 32, 32, 64, 16]",tanh,rmsprop
26,colors-count_equate_1_207,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.5,0.5,0.7807,0.7807,3,"[32, 128, 32]",relu,nadam
27,colors-count_equate_1_208,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.7,0.7,0.763,0.763,3,"[32, 32, 128]",elu,adam
28,colors-count_equate_1_209,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.35,0.35,1.2137,1.2137,3,"[128, 128, 128]",relu,nadam
29,colors-count_equate_1_210,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.5,0.5,0.7117,0.7117,2,"[32, 64]",elu,adagrad
30,colors-count_equate_1_211,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.4,0.4,0.7507,0.7507,4,"[32, 128, 16, 64]",relu,adamax
31,colors-count_equate_1_212,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.5,0.5,0.9649,0.9649,2,"[32, 64]",elu,adam
32,colors-count_equate_1_213,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.7,0.7,0.674,0.674,5,"[32, 16, 32, 64, 32]",tanh,nadam
33,colors-count_equate_1_214,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.75,0.75,0.7537,0.7537,4,"[32, 64, 64, 64]",elu,nadam
34,colors-count_equate_1_215,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.6,0.6,1.0479,1.0479,4,"[32, 128, 16, 64]",elu,adam
35,colors-count_equate_1_216,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.45,0.45,0.8835,0.8835,3,"[32, 64, 64]",relu,nadam
36,colors-count_equate_1_217,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.6,0.6,0.8017,0.8017,2,"[128, 64]",elu,adagrad
37,colors-count_equate_1_218,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.35,0.35,0.9362,0.9362,3,"[128, 128, 32]",relu,nadam
38,colors-count_equate_1_219,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.4,0.4,1.8916,1.8916,4,"[128, 128, 128, 64]",relu,nadam
39,colors-count_equate_1_220,colors-count,11,AD-controlled,AD-controlled,Incongruent,50,0.65,0.65,0.7825,0.7825,5,"[32, 32, 32, 64, 32]",tanh,adagrad
40,colors-count_equate_1_201,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.2187,0.2187,5,"[32, 64, 128, 128, 32]",elu,nadam
41,colors-count_equate_1_202,colors-count,11,AD-controlled,AD-controlled,Congruent,56,0.35,0.35,0.9773,0.9773,4,"[32, 64, 16, 64]",softplus,nadam
42,colors-count_equate_1_203,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.2959,0.2959,3,"[32, 64, 32]",relu,nadam
43,colors-count_equate_1_204,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.1494,0.1494,4,"[32, 64, 16, 64]",relu,adam
44,colors-count_equate_1_205,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.1367,0.1367,4,"[32, 32, 32, 64]",tanh,nadam
45,colors-count_equate_1_206,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.0486,0.0486,5,"[32, 32, 32, 64, 16]",tanh,rmsprop
46,colors-count_equate_1_207,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.2592,0.2592,3,"[32, 128, 32]",relu,nadam
47,colors-count_equate_1_208,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.0175,0.0175,3,"[32, 32, 128]",elu,adam
48,colors-count_equate_1_209,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.3539,0.3539,3,"[128, 128, 128]",relu,nadam
49,colors-count_equate_1_210,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.1944,0.1944,2,"[32, 64]",elu,adagrad
50,colors-count_equate_1_211,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.323,0.323,4,"[32, 128, 16, 64]",relu,adamax
51,colors-count_equate_1_212,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.0623,0.0623,2,"[32, 64]",elu,adam
52,colors-count_equate_1_213,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.1095,0.1095,5,"[32, 16, 32, 64, 32]",tanh,nadam
53,colors-count_equate_1_214,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.2016,0.2016,4,"[32, 64, 64, 64]",elu,nadam
54,colors-count_equate_1_215,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.0259,0.0259,4,"[32, 128, 16, 64]",elu,adam
55,colors-count_equate_1_216,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.2827,0.2827,3,"[32, 64, 64]",relu,nadam
56,colors-count_equate_1_217,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.1498,0.1498,2,"[128, 64]",elu,adagrad
57,colors-count_equate_1_218,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.2081,0.2081,3,"[128, 128, 32]",relu,nadam
58,colors-count_equate_1_219,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.045,0.045,4,"[128, 128, 128, 64]",relu,nadam
59,colors-count_equate_1_220,colors-count,11,AD-controlled,AD-controlled,Congruent,56,1.0,1.0,0.3494,0.3494,5,"[32, 32, 32, 64, 32]",tanh,adagrad
60,colors-count_equate_1_201,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.95,0.95,0.8895,0.8895,5,"[32, 64, 128, 128, 32]",elu,nadam
61,colors-count_equate_1_202,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.35,0.35,0.9774,0.9774,4,"[32, 64, 16, 64]",softplus,nadam
62,colors-count_equate_1_203,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.9,0.9,0.4355,0.4355,3,"[32, 64, 32]",relu,nadam
63,colors-count_equate_1_204,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.9,0.9,0.4576,0.4576,4,"[32, 64, 16, 64]",relu,adam
64,colors-count_equate_1_205,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.95,0.95,0.3897,0.3897,4,"[32, 32, 32, 64]",tanh,nadam
65,colors-count_equate_1_206,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.95,0.95,0.2827,0.2827,5,"[32, 32, 32, 64, 16]",tanh,rmsprop
66,colors-count_equate_1_207,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.95,0.95,0.4288,0.4288,3,"[32, 128, 32]",relu,nadam
67,colors-count_equate_1_208,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,1.0,1.0,0.1397,0.1397,3,"[32, 32, 128]",elu,adam
68,colors-count_equate_1_209,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.85,0.85,0.6436,0.6436,3,"[128, 128, 128]",relu,nadam
69,colors-count_equate_1_210,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.85,0.85,0.4269,0.4269,2,"[32, 64]",elu,adagrad
70,colors-count_equate_1_211,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.95,0.95,0.5238,0.5238,4,"[32, 128, 16, 64]",relu,adamax
71,colors-count_equate_1_212,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.95,0.95,0.1775,0.1775,2,"[32, 64]",elu,adam
72,colors-count_equate_1_213,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.95,0.95,0.4,0.4,5,"[32, 16, 32, 64, 32]",tanh,nadam
73,colors-count_equate_1_214,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.95,0.95,0.4837,0.4837,4,"[32, 64, 64, 64]",elu,nadam
74,colors-count_equate_1_215,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.9,0.9,0.3448,0.3448,4,"[32, 128, 16, 64]",elu,adam
75,colors-count_equate_1_216,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.95,0.95,0.5276,0.5276,3,"[32, 64, 64]",relu,nadam
76,colors-count_equate_1_217,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.75,0.75,0.4701,0.4701,2,"[128, 64]",elu,adagrad
77,colors-count_equate_1_218,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.95,0.95,0.4774,0.4774,3,"[128, 128, 32]",relu,nadam
78,colors-count_equate_1_219,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.9,0.9,0.5779,0.5779,4,"[128, 128, 128, 64]",relu,nadam
79,colors-count_equate_1_220,colors-count,11,AD-controlled,AD-controlled,Incongruent,56,0.85,0.85,0.6258,0.6258,5,"[32, 32, 32, 64, 32]",tanh,adagrad
80,colors-count_equate_1_201,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.3828,0.3828,5,"[32, 64, 128, 128, 32]",elu,nadam
81,colors-count_equate_1_202,colors-count,11,AD-controlled,AD-controlled,Congruent,63,0.35,0.35,0.9772,0.9772,4,"[32, 64, 16, 64]",softplus,nadam
82,colors-count_equate_1_203,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.3503,0.3503,3,"[32, 64, 32]",relu,nadam
83,colors-count_equate_1_204,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.2302,0.2302,4,"[32, 64, 16, 64]",relu,adam
84,colors-count_equate_1_205,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.2493,0.2493,4,"[32, 32, 32, 64]",tanh,nadam
85,colors-count_equate_1_206,colors-count,11,AD-controlled,AD-controlled,Congruent,63,0.95,0.95,0.1539,0.1539,5,"[32, 32, 32, 64, 16]",tanh,rmsprop
86,colors-count_equate_1_207,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.3455,0.3455,3,"[32, 128, 32]",relu,nadam
87,colors-count_equate_1_208,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.0718,0.0718,3,"[32, 32, 128]",elu,adam
88,colors-count_equate_1_209,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.4544,0.4544,3,"[128, 128, 128]",relu,nadam
89,colors-count_equate_1_210,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.3256,0.3256,2,"[32, 64]",elu,adagrad
90,colors-count_equate_1_211,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.4085,0.4085,4,"[32, 128, 16, 64]",relu,adamax
91,colors-count_equate_1_212,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.1282,0.1282,2,"[32, 64]",elu,adam
92,colors-count_equate_1_213,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.218,0.218,5,"[32, 16, 32, 64, 32]",tanh,nadam
93,colors-count_equate_1_214,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.3206,0.3206,4,"[32, 64, 64, 64]",elu,nadam
94,colors-count_equate_1_215,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.0823,0.0823,4,"[32, 128, 16, 64]",elu,adam
95,colors-count_equate_1_216,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.407,0.407,3,"[32, 64, 64]",relu,nadam
96,colors-count_equate_1_217,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.2788,0.2788,2,"[128, 64]",elu,adagrad
97,colors-count_equate_1_218,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.3047,0.3047,3,"[128, 128, 32]",relu,nadam
98,colors-count_equate_1_219,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.1435,0.1435,4,"[128, 128, 128, 64]",relu,nadam
99,colors-count_equate_1_220,colors-count,11,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.4234,0.4234,5,"[32, 32, 32, 64, 32]",tanh,adagrad
100,colors-count_equate_1_201,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.85,0.85,1.0097,1.0097,5,"[32, 64, 128, 128, 32]",elu,nadam
101,colors-count_equate_1_202,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.35,0.35,0.9772,0.9772,4,"[32, 64, 16, 64]",softplus,nadam
102,colors-count_equate_1_203,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.8,0.8,0.524,0.524,3,"[32, 64, 32]",relu,nadam
103,colors-count_equate_1_204,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.7,0.7,0.6078,0.6078,4,"[32, 64, 16, 64]",relu,adam
104,colors-count_equate_1_205,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.8,0.8,0.5235,0.5235,4,"[32, 32, 32, 64]",tanh,nadam
105,colors-count_equate_1_206,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.8,0.8,0.3697,0.3697,5,"[32, 32, 32, 64, 16]",tanh,rmsprop
106,colors-count_equate_1_207,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.85,0.85,0.5429,0.5429,3,"[32, 128, 32]",relu,nadam
107,colors-count_equate_1_208,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.95,0.95,0.3432,0.3432,3,"[32, 32, 128]",elu,adam
108,colors-count_equate_1_209,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.8,0.8,0.7039,0.7039,3,"[128, 128, 128]",relu,nadam
109,colors-count_equate_1_210,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.8,0.8,0.5313,0.5313,2,"[32, 64]",elu,adagrad
110,colors-count_equate_1_211,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.85,0.85,0.5999,0.5999,4,"[32, 128, 16, 64]",relu,adamax
111,colors-count_equate_1_212,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.8,0.8,0.3614,0.3614,2,"[32, 64]",elu,adam
112,colors-count_equate_1_213,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.8,0.8,0.5213,0.5213,5,"[32, 16, 32, 64, 32]",tanh,nadam
113,colors-count_equate_1_214,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.9,0.9,0.5872,0.5872,4,"[32, 64, 64, 64]",elu,nadam
114,colors-count_equate_1_215,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.85,0.85,0.5261,0.5261,4,"[32, 128, 16, 64]",elu,adam
115,colors-count_equate_1_216,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.9,0.9,0.6277,0.6277,3,"[32, 64, 64]",relu,nadam
116,colors-count_equate_1_217,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.7,0.7,0.6068,0.6068,2,"[128, 64]",elu,adagrad
117,colors-count_equate_1_218,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.8,0.8,0.5937,0.5937,3,"[128, 128, 32]",relu,nadam
118,colors-count_equate_1_219,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.8,0.8,0.73,0.73,4,"[128, 128, 128, 64]",relu,nadam
119,colors-count_equate_1_220,colors-count,11,AD-controlled,AD-controlled,Incongruent,63,0.75,0.75,0.696,0.696,5,"[32, 32, 32, 64, 32]",tanh,adagrad
120,colors-count_equate_1_201,colors-count,11,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.5212,0.5212,5,"[32, 64, 128, 128, 32]",elu,nadam
