index,Task,Train,Test,Ratio,Accuracy_diff
95,count,TS-controlled,AD-controlled,86,0.040000000000000036
96,count,TS-controlled,CH-controlled,50,0.51
97,count,TS-controlled,CH-controlled,56,0.5375
98,count,TS-controlled,CH-controlled,63,0.5125000000000001
99,count,TS-controlled,CH-controlled,71,0.5125
100,count,TS-controlled,CH-controlled,75,0.4025
101,count,TS-controlled,CH-controlled,86,0.4775
102,count,TS-controlled,TS-controlled,50,0.4625
103,count,TS-controlled,TS-controlled,56,0.16749999999999998
104,count,TS-controlled,TS-controlled,63,0.1975
105,count,TS-controlled,TS-controlled,71,0.125
106,count,TS-controlled,TS-controlled,75,-0.09000000000000008
107,count,TS-controlled,TS-controlled,86,0.135
108,size-count,AD-controlled,AD-controlled,50,0.5125000000000001
109,size-count,AD-controlled,AD-controlled,56,0.26749999999999996
110,size-count,AD-controlled,AD-controlled,63,0.34750000000000003
111,size-count,AD-controlled,AD-controlled,71,0.25750000000000006
112,size-count,AD-controlled,AD-controlled,75,0.3375
113,size-count,AD-controlled,AD-controlled,86,0.020000000000000018
114,size-count,AD-controlled,CH-controlled,50,0.6525
115,size-count,AD-controlled,CH-controlled,56,0.6875
116,size-count,AD-controlled,CH-controlled,63,0.6175
117,size-count,AD-controlled,CH-controlled,71,0.6575
118,size-count,AD-controlled,CH-controlled,75,0.565
119,size-count,AD-controlled,CH-controlled,86,0.495
120,size-count,AD-controlled,TS-controlled,50,0.22750000000000004
121,size-count,AD-controlled,TS-controlled,56,0.35000000000000003
122,size-count,AD-controlled,TS-controlled,63,0.36000000000000004
123,size-count,AD-controlled,TS-controlled,71,0.21749999999999997
124,size-count,AD-controlled,TS-controlled,75,0.2725
125,size-count,AD-controlled,TS-controlled,86,0.18750000000000006
126,size-count,CH-controlled,AD-controlled,50,0.23750000000000004
127,size-count,CH-controlled,AD-controlled,56,0.19499999999999995
128,size-count,CH-controlled,AD-controlled,63,0.020000000000000018
129,size-count,CH-controlled,AD-controlled,71,0.18000000000000005
130,size-count,CH-controlled,AD-controlled,75,0.06999999999999995
131,size-count,CH-controlled,AD-controlled,86,-0.0050000000000000044
132,size-count,CH-controlled,CH-controlled,50,0.1975
133,size-count,CH-controlled,CH-controlled,56,0.050000000000000044
134,size-count,CH-controlled,CH-controlled,63,0.07999999999999996
135,size-count,CH-controlled,CH-controlled,71,0.23749999999999993
136,size-count,CH-controlled,CH-controlled,75,0.15500000000000003
137,size-count,CH-controlled,CH-controlled,86,0.14249999999999996
138,size-count,CH-controlled,TS-controlled,50,0.032500000000000084
139,size-count,CH-controlled,TS-controlled,56,0.22750000000000004
140,size-count,CH-controlled,TS-controlled,63,0.30500000000000005
141,size-count,CH-controlled,TS-controlled,71,0.20000000000000007
142,size-count,CH-controlled,TS-controlled,75,0.125
143,size-count,CH-controlled,TS-controlled,86,0.14500000000000002
144,size-count,TS-controlled,AD-controlled,50,0.07631578939999994
145,size-count,TS-controlled,AD-controlled,56,0.015789473700000056
146,size-count,TS-controlled,AD-controlled,63,0.07368421049999996
147,size-count,TS-controlled,AD-controlled,71,-0.04736842100000005
148,size-count,TS-controlled,AD-controlled,75,0.07105263160000008
149,size-count,TS-controlled,AD-controlled,86,-0.013157894799999958
150,size-count,TS-controlled,CH-controlled,50,0.37368421050000006
151,size-count,TS-controlled,CH-controlled,56,0.4
152,size-count,TS-controlled,CH-controlled,63,0.29210526309999996
153,size-count,TS-controlled,CH-controlled,71,0.35789473689999995
154,size-count,TS-controlled,CH-controlled,75,0.38947368420000006
155,size-count,TS-controlled,CH-controlled,86,0.26315789469999995
156,size-count,TS-controlled,TS-controlled,50,0.22631578949999998
157,size-count,TS-controlled,TS-controlled,56,0.021052631600000038
158,size-count,TS-controlled,TS-controlled,63,0.1236842105
159,size-count,TS-controlled,TS-controlled,71,0.010526315800000074
160,size-count,TS-controlled,TS-controlled,75,-0.007894736899999977
161,size-count,TS-controlled,TS-controlled,86,0.17368421050000005
